Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],clk_4MHz,<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,3224,4649,0,1961,-15035,-18882,-11780,2289,0,-1552,-46,40b8,9658,1f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,3224,4649,0,1961,-15035,-18882,-11780,2289,1,-1693,-101,40b8,9658,1f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,3224,4649,1,1961,-3607,5648,-8514,2c24,0,-1693,-101,3e59,0000,1f5c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,3224,4649,1,1961,-3607,5648,-8514,2c24,1,-1790,-97,3e59,0000,1f5c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,3224,4649,1,1961,-3607,5648,-5308,3663,0,-1790,-97,3e59,0000,1f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,3224,4649,1,1961,-3607,5648,-5308,3663,1,-1841,-48,3e59,0000,1f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,3224,4649,0,1961,-3607,5648,-2381,40e5,0,-1841,-48,3e59,0000,1c7c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,3224,4649,0,1961,-3607,5648,-2381,40e5,1,-1846,26,3e59,0000,1c7c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,-5615,-2151,0,1961,-3607,5648,93,4b34,0,-1846,26,3e59,0000,1c7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
