Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],clk_4MHz,<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,-4111,-4315,0,1961,-959,20926,15121,2642,0,193,114,16383,-5776,13658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,-4075,4871,0,1961,-959,20926,17594,739,1,78,-622,16383,-5776,13658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,-4075,4871,0,1961,-959,20926,17594,739,0,78,-622,16383,-5776,13658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,-4075,4871,0,1961,-959,20926,19762,-455,1,-38,-1225,16383,-5776,13662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,-4075,4871,0,1961,-959,20926,19762,-455,0,-38,-1225,16383,-5776,13662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,-4075,4871,0,1961,-959,20926,21525,-949,1,-127,-1601,16383,-5776,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,-4075,4871,0,1961,-959,20926,21525,-949,0,-127,-1601,16383,-5776,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,-4075,4871,0,1961,-1845,-22069,22816,-842,1,-185,-1749,16361,0,13662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,-4075,4871,0,1961,-1845,-22069,22816,-842,0,-185,-1749,16361,0,13662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,-4075,4871,0,1961,-1845,-22069,23605,-317,1,-220,-1697,16361,0,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,1,-4075,4871,0,1961,-1845,-22069,23605,-317,0,-220,-1697,16361,0,13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,-4075,4871,1,1961,-1845,-22069,23895,377,1,-235,-1430,16361,0,13666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,-4075,4871,1,1961,-1845,-22069,23895,377,0,-235,-1430,16361,0,13666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,-4075,4871,1,1961,-1845,-22069,23717,951,1,-227,-920,16361,0,13666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,0,-4075,4871,1,1961,-1845,-22069,23717,951,0,-227,-920,16361,0,13666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,-4075,4871,0,1961,-1845,-22069,23120,1116,1,-193,-206,16361,0,13666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,-4075,4871,0,1961,-1845,-22069,23120,1116,0,-193,-206,16361,0,13666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,-3775,4411,0,1961,-1845,-22069,22158,627,1,-144,571,16361,0,13666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,0,-3775,4411,0,1961,-1845,-22069,22158,627,0,-144,571,16361,0,13666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,0,-3775,4411,0,1961,-1845,-22069,20877,-673,1,-91,1227,16361,-19912,13758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0,0,-3775,4411,0,1961,-1845,-22069,20877,-673,0,-91,1227,16361,-19912,13758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0,-3775,4411,0,1961,-1845,-22069,19306,-2824,1,-38,1649,16361,-19912,13758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,-3775,4411,0,1961,-1845,-22069,19306,-2824,0,-38,1649,16361,-19912,13758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,-3775,4411,0,1961,-1553,-16856,17454,-5721,1,16,1827,16306,0,13758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,-3775,4411,0,1961,-1553,-16856,17454,-5721,0,16,1827,16306,0,13758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,-3775,4411,0,1961,-1553,-16856,15303,-9126,1,70,1797,16306,0,13758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,1,-3775,4411,0,1961,-1553,-16856,15303,-9126,0,70,1797,16306,0,13758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,-3775,4411,1,1961,-1553,-16856,12823,-12684,1,124,1562,16306,0,13850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,0,-3775,4411,1,1961,-1553,-16856,12823,-12684,0,124,1562,16306,0,13850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,-3775,4411,1,1961,-1553,-16856,9977,-15971,1,175,1096,16306,0,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,-3775,4411,1,1961,-1553,-16856,9977,-15971,0,175,1096,16306,0,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,-3775,4411,0,1961,-1553,-16856,6747,-18556,1,209,423,16306,6132,13850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,0,-3775,4411,0,1961,-1553,-16856,6747,-18556,0,209,423,16306,6132,13850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,4972,4314,0,1961,-1553,-16856,3142,-20063,1,208,-333,16306,6132,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,4972,4314,0,1961,-1553,-16856,3142,-20063,0,208,-333,16306,6132,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,4972,4314,0,1961,-1553,-16856,-780,-20239,1,166,-999,16306,4048,14162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,4972,4314,0,1961,-1553,-16856,-780,-20239,0,166,-999,16306,4048,14162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,4972,4314,0,1961,-1553,-16856,-4904,-19003,1,88,-1459,16306,4048,14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,0,4972,4314,0,1961,-1553,-16856,-4904,-19003,0,88,-1459,16306,4048,14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,4972,4314,0,1961,1342,23006,-9054,-16467,1,-24,-1699,16399,0,14162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,4972,4314,0,1961,1342,23006,-9054,-16467,0,-24,-1699,16399,0,14162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,0,4972,4314,0,1961,1342,23006,-13008,-12935,1,-174,-1752,16399,0,14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,1,4972,4314,0,1961,1342,23006,-13008,-12935,0,-174,-1752,16399,0,14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,4972,4314,1,1961,1342,23006,-16510,-8870,1,-368,-1639,16399,0,14474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,0,4972,4314,1,1961,1342,23006,-16510,-8870,0,-368,-1639,16399,0,14474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
